cart_id,t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u
1,0.0900,swingup,-6.00,-4.9792,0.2498,-167.69,-133.07,2.6217,-0.5368,-1.5666
2,0.0900,swingup,6.00,4.8922,-1.8574,175.21,-153.70,-1.5064,0.0711,-5.1955
1,0.1900,swingup,-6.00,-4.9615,0.1368,-152.66,-142.16,2.5852,-2.2834,2.0822
2,0.1900,swingup,6.00,4.6853,-2.3355,166.98,-159.30,-1.3212,-1.8718,-5.8803
1,0.2900,swingup,-6.00,-4.9354,0.5626,-139.20,-155.78,2.0630,-2.0396,11.0275
2,0.2900,swingup,6.00,4.4248,-2.9646,160.72,-176.73,-0.8627,2.2747,-8.3005
1,0.3900,swingup,-6.00,-4.8297,1.7715,-129.93,-160.51,1.2457,0.3599,16.9569
2,0.3900,swingup,6.00,4.0942,-3.6945,156.81,155.10,-0.6649,0.9540,-6.6207
1,0.4900,swingup,-6.00,-4.5838,3.3264,-125.92,-148.97,0.1918,-2.9099,19.0284
2,0.4900,swingup,6.00,3.7107,-3.8852,151.84,127.54,-0.9967,2.1498,-0.2616
1,0.5900,swingup,-6.00,-4.1803,4.8499,-127.82,-122.91,-0.5026,-1.3043,16.0366
2,0.5900,swingup,6.00,3.3258,-3.8217,146.22,109.41,-0.9177,-2.3821,-0.5481
1,0.6900,swingup,-6.00,-3.6504,5.6813,-128.84,-99.02,0.0230,-2.9510,5.5109
2,0.6900,swingup,6.00,2.9432,-3.8568,142.08,100.90,-0.5432,-0.7663,-1.8443
1,0.7900,swingup,-6.00,-3.0686,5.9064,-129.47,-85.27,-0.3811,1.7307,-0.1611
2,0.7900,swingup,6.00,2.5517,-3.9612,140.34,101.42,-0.0585,0.7550,0.1247
1,0.8900,swingup,-6.00,-2.4858,5.6927,-135.70,-78.77,-1.7144,0.6340,-2.1310
2,0.8900,swingup,6.00,2.1623,-3.7795,143.01,109.59,0.9127,1.9700,1.8649
1,0.9900,swingup,-6.00,-1.9274,5.4711,-149.43,-80.19,-2.8710,-1.1266,-1.0810
2,0.9900,swingup,6.00,1.7970,-3.4965,150.94,125.15,1.6923,-2.9007,1.0976
1,1.0900,swingup,-6.00,-1.4533,3.1531,-177.27,-93.08,-1.1408,2.5460,-15.5642
2,1.0900,swingup,6.00,1.4591,-3.2076,161.58,149.70,1.9973,-1.3038,2.2316
1,1.1900,swingup,-6.00,-1.1968,1.6546,140.44,-140.43,-0.0589,0.2747,-31.1254
2,1.1900,swingup,6.00,1.1501,-3.0093,174.50,-179.44,2.5234,-0.8849,-0.7867
1,1.2900,swingup,-6.00,-1.1611,-0.2335,135.58,109.27,-3.0635,2.1541,-3.2313
2,1.2900,swingup,6.00,0.8430,-3.1800,-169.18,-152.60,3.0685,-2.3474,-0.9591
1,1.3900,swingup,-6.00,-1.2458,-1.8723,100.90,25.39,1.5047,-2.0370,-25.1273
2,1.3900,swingup,6.00,0.6366,-0.6802,-134.38,-138.56,1.8560,1.4986,20.5195
1,1.4900,swingup,-6.00,-1.4894,-2.9324,28.91,27.63,-1.2130,0.1108,-16.4679
2,1.4900,swingup,6.00,0.6442,1.1856,-94.49,-116.65,-1.0581,0.2527,28.4504
1,1.5900,swingup,-6.00,-1.8261,-3.8972,-33.57,41.67,-2.8705,-1.0751,-5.5101
2,1.5900,swingup,6.00,0.8411,2.7659,-78.70,-67.49,1.4217,2.7366,17.0183
1,1.6900,swingup,-6.00,-2.2407,-4.3186,-86.00,16.00,-3.0908,-1.3147,5.5873
2,1.6900,swingup,6.00,1.1612,3.6123,-70.12,-24.58,1.5999,0.0341,5.4581
1,1.7900,swingup,-6.00,-2.6438,-3.5281,-129.89,-54.76,2.0313,2.8992,2.8474
2,1.7900,swingup,6.00,1.5311,3.6429,-61.66,9.01,1.4014,-0.3940,-4.6377
1,1.8900,swingup,-6.00,-2.9557,-2.8396,-120.10,-171.63,-0.3731,0.0167,22.0113
2,1.8900,swingup,6.00,1.8695,2.9853,-51.30,47.17,2.4782,1.2308,-9.5082
1,1.9900,swingup,-6.00,-3.1560,-0.2634,-159.24,117.39,-2.1299,-0.3734,42.5198
2,1.9900,swingup,6.00,2.1150,1.6843,-24.50,98.80,0.8354,-2.4611,-11.7017
1,2.0900,swingup,-6.00,-3.0582,1.7959,162.13,106.25,0.2563,0.8124,5.1681
2,2.0900,swingup,6.00,2.2310,0.3780,32.03,148.11,-0.8649,-0.8848,-14.2841
1,2.1900,swingup,-6.00,-2.8542,2.3153,128.05,124.78,0.5077,-1.5966,-0.4978
2,2.1900,swingup,6.00,2.2420,0.1011,106.04,134.73,2.9682,2.7752,-14.4672
1,2.2900,swingup,-6.00,-2.6223,2.1511,103.11,146.91,-3.0008,2.7002,7.8084
2,2.2900,swingup,6.00,2.3141,0.4031,-165.36,104.90,-0.1848,-1.7777,-5.2373
1,2.3900,swingup,-6.00,-2.3896,2.3422,93.59,161.25,-0.6006,2.2353,-2.9794
2,2.3900,swingup,6.00,2.3449,0.0311,-111.90,173.43,-1.7189,-3.0267,2.5146
1,2.4900,swingup,-6.00,-2.1717,1.9046,97.20,171.02,1.6079,1.1218,-8.0026
2,2.4900,swingup,6.00,2.2946,-1.4240,-126.85,-79.57,2.6715,-1.0662,-12.1719
1,2.5900,swingup,-6.00,-2.0210,1.1926,112.86,169.43,-2.5806,-1.3744,3.9284
2,2.5900,swingup,6.00,2.1513,-1.1779,-113.64,4.74,-0.0077,1.2402,6.2655
1,2.6900,swingup,-6.00,-1.8883,1.2525,143.19,153.92,0.3174,1.9709,-14.0648
2,2.6900,swingup,6.00,2.0526,-0.8177,-63.13,77.47,-2.6337,-1.2329,2.8520
