cart_id,t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u
1,0.0900,swingup,-6.00,-4.9792,0.2498,-167.69,-133.07,2.6217,-0.5368,-1.5666
2,0.0900,swingup,6.00,4.8922,-1.8574,175.21,-153.70,-1.5064,0.0711,-5.1955
1,0.1900,swingup,-6.00,-4.9615,0.1368,-152.66,-142.16,2.5852,-2.2834,2.0822
2,0.1900,swingup,6.00,4.6853,-2.3355,166.98,-159.30,-1.3212,-1.8718,-5.8803
1,0.2900,swingup,-6.00,-4.9354,0.5626,-139.20,-155.78,2.0630,-2.0396,11.0275
2,0.2900,swingup,6.00,4.4248,-2.9646,160.72,-176.73,-0.8627,2.2747,-8.3005
1,0.3900,swingup,-6.00,-4.8297,1.7715,-129.93,-160.51,1.2457,0.3599,16.9569
2,0.3900,swingup,6.00,4.0942,-3.6945,156.81,155.10,-0.6649,0.9540,-6.6207
1,0.4900,swingup,-6.00,-4.5838,3.3264,-125.92,-148.97,0.1918,-2.9099,19.0284
2,0.4900,swingup,6.00,3.7107,-3.8852,151.84,127.54,-0.9967,2.1498,-0.2616
1,0.5900,swingup,-6.00,-4.1803,4.8499,-127.82,-122.91,-0.5026,-1.3043,16.0366
2,0.5900,swingup,6.00,3.3258,-3.8217,146.22,109.41,-0.9177,-2.3821,-0.5481
1,0.6900,swingup,-6.00,-3.6504,5.6813,-128.84,-99.02,0.0230,-2.9510,5.5109
2,0.6900,swingup,6.00,2.9432,-3.8568,142.08,100.90,-0.5432,-0.7663,-1.8443
1,0.7900,swingup,-6.00,-3.0686,5.9069,-129.47,-85.27,-0.3803,1.7300,-0.1304
2,0.7900,swingup,6.00,2.5517,-3.9616,140.34,101.42,-0.0594,0.7555,0.0968
1,0.8900,swingup,-6.00,-2.4856,5.6974,-135.68,-78.79,-1.7067,0.6286,-2.0798
2,0.8900,swingup,6.00,2.1621,-3.7835,142.98,109.60,0.9051,1.9737,1.8255
1,0.9900,swingup,-6.00,-1.9265,5.4803,-149.34,-80.24,-2.8566,-1.1309,-1.0442
2,0.9900,swingup,6.00,1.7962,-3.5038,150.85,125.18,1.6803,-2.8984,1.0748
1,1.0900,swingup,-6.00,-1.4322,3.3292,-174.81,-93.39,-0.8277,2.7859,-20.1904
2,1.0900,swingup,6.00,1.4575,-3.2160,161.44,149.72,1.9942,-1.3138,2.2426
1,1.1900,swingup,-6.00,-1.1677,1.7276,142.94,-138.61,-0.2139,0.6568,-29.7727
2,1.1900,swingup,6.00,1.1476,-3.0216,174.38,-179.54,2.5266,-0.9088,-0.8444
1,1.2900,swingup,-6.00,-1.1241,-0.4310,135.57,113.45,2.9788,1.9503,-50.0000
2,1.2900,swingup,6.00,0.8391,-3.1926,-169.30,-152.82,3.0695,-2.3651,-0.9625
1,1.3900,swingup,-6.00,-1.2640,-2.3127,97.43,32.36,1.0821,-1.1233,-22.0852
2,1.3900,swingup,6.00,0.6314,-0.7017,-134.54,-138.78,1.8329,1.5142,20.2211
1,1.4900,swingup,-6.00,-1.5366,-3.0670,21.13,37.60,-1.3733,-1.4865,-14.4084
2,1.4900,swingup,6.00,0.6354,1.1310,-94.77,-116.90,-1.0649,0.2170,28.0151
1,1.5900,swingup,-6.00,-1.8867,-3.9758,-40.22,33.52,-2.9409,1.9704,-4.5188
2,1.5900,swingup,6.00,0.8254,2.6796,-78.92,-68.02,1.4303,2.7013,16.6770
1,1.6900,swingup,-6.00,-2.3061,-4.2713,-87.94,-10.95,-0.9925,1.8638,7.1317
2,1.6900,swingup,6.00,1.1358,3.5037,-70.38,-25.13,1.5893,0.0457,5.3695
1,1.7900,swingup,-6.00,-2.7137,-3.8461,-106.96,-97.75,1.0114,-0.7184,12.9657
2,1.7900,swingup,6.00,1.4947,3.5376,-61.97,8.48,1.3880,-0.4018,-4.5241
1,1.8900,swingup,-6.00,-3.0901,-3.0278,-129.20,172.60,-2.9359,2.7806,45.4546
2,1.8900,swingup,6.00,1.8228,2.8755,-51.77,46.57,2.4467,1.2270,-9.7466
1,1.9900,swingup,-6.00,-3.3364,-1.2306,161.60,162.94,0.0192,-2.3415,21.7458
2,1.9900,swingup,6.00,2.0564,1.5551,-25.11,98.33,0.8278,-2.4052,-12.0563
1,2.0900,swingup,-6.00,-3.3676,1.0345,110.14,170.35,-0.1415,-0.2379,16.1117
2,2.0900,swingup,6.00,2.1558,0.1650,31.95,147.97,-0.7131,-0.9154,-14.5679
1,2.1900,swingup,-6.00,-3.2034,2.2741,81.68,166.13,2.2439,-0.7722,11.2825
2,2.1900,swingup,6.00,2.1444,-0.1398,107.15,133.01,-2.9201,2.2080,0.5165
1,2.2900,swingup,-6.00,-2.9315,2.8905,63.21,164.75,-2.4515,-0.1521,-5.6011
2,2.2900,swingup,6.00,2.2001,0.1913,-164.03,105.21,-0.1850,-1.2867,-5.6169
1,2.3900,swingup,-6.00,-2.6643,2.4621,55.92,163.24,-0.3328,-0.1363,-1.7993
2,2.3900,swingup,6.00,2.2109,-0.1067,-111.71,176.12,-2.1167,-2.6023,4.0069
1,2.4900,swingup,-6.00,-2.4231,2.4053,59.91,165.25,1.5061,0.7796,0.8629
2,2.4900,swingup,6.00,2.1498,-1.5321,-127.76,-74.18,-2.8955,-1.1599,19.2046
1,2.5900,swingup,-6.00,-2.1818,2.2472,74.36,171.00,-2.8476,0.7262,-15.3736
2,2.5900,swingup,6.00,2.0144,-1.1089,-108.82,10.43,0.9260,1.2748,4.5329
1,2.6900,swingup,-6.00,-2.0067,1.3041,101.53,163.99,-0.3963,-3.0369,-8.9656
2,2.6900,swingup,6.00,1.9190,-0.8276,-54.92,79.70,-2.3664,-2.4823,3.6644
